x,y,z
-9.819849967956543,-188.5029296875,0.0018242205260321498
-9.825796127319336,-188.197998046875,0.0012336289510130882
-9.83065414428711,-187.88633728027344,0.0012317216023802757
-9.834732055664062,-187.57568359375,0.0012781083351001143
-9.83786678314209,-187.27005004882812,0.001318849273957312
-9.840227127075195,-186.963623046875,0.0013482224894687533
-9.84186840057373,-186.66273498535156,0.0013682114658877254
-9.842962265014648,-186.34544372558594,0.0014131867792457342
-9.843463897705078,-186.04354858398438,0.001431306591257453
-9.84349250793457,-185.74322509765625,0.001439088606275618
-9.843069076538086,-185.4286651611328,0.0014429795555770397
-9.842255592346191,-185.11973571777344,0.0014450775925070047
-9.841064453125,-184.8043670654297,0.0014467942528426647
-9.839618682861328,-184.50177001953125,0.0014483201084658504
-9.83777141571045,-184.1761932373047,0.0014498078962787986
-9.835762977600098,-183.8660430908203,0.0014514100039377809
-9.83350658416748,-183.55081176757812,0.0014529740437865257
-9.83098030090332,-183.22628784179688,0.0014544998994097114
-9.828396797180176,-182.91587829589844,0.0014563309960067272
-9.825628280639648,-182.6008758544922,0.0014615189284086227
-9.822638511657715,-182.2769317626953,0.0014776169555261731
-9.819708824157715,-181.97198486328125,0.0015072572277858853
-9.816693305969238,-181.66818237304688,0.0015506685012951493
-9.813624382019043,-181.3675537109375,0.0016035784501582384
-9.810404777526855,-181.05967712402344,0.0016625536372885108
-9.807390213012695,-180.75743103027344,0.0017188204219564795
-9.804369926452637,-180.43089294433594,0.0017715777503326535
-9.80158519744873,-180.1155548095703,0.0018105257768183947
-9.7988920211792,-179.80050659179688,0.00183581723831594
-9.796337127685547,-179.4944305419922,0.001847795327194035
-9.79382610321045,-179.18785095214844,0.001850160420872271
-9.791316032409668,-178.87628173828125,0.00184569729026407
-9.788834571838379,-178.56472778320312,0.0018379534594714642
-9.786373138427734,-178.2521209716797,0.0018302476964890957
-9.78396224975586,-177.94406127929688,0.0018244493985548615
-9.7815523147583,-177.6322021484375,0.0018215883756056428
-9.779220581054688,-177.32931518554688,0.001821740996092558
-9.776693344116211,-176.99887084960938,0.0018246782710775733
-9.77424430847168,-176.67684936523438,0.001829370390623808
-9.771845817565918,-176.35968017578125,0.0018345965072512627
-9.769403457641602,-176.03890991210938,0.0018394793150946498
-9.767081260681152,-175.72067260742188,0.0018432177603244781
-9.76490592956543,-175.40084838867188,0.0018456591060385108
-9.76283073425293,-175.08135986328125,0.0018466891488060355
-9.760833740234375,-174.7640380859375,0.0018464983440935612
-9.758846282958984,-174.43917846679688,0.001845430233515799
-9.756906509399414,-174.1151885986328,0.0018439425621181726
-9.755008697509766,-173.79307556152344,0.0018382585840299726
